Itens,Valor,qtd
Lapis da Fortuna Lyd,0,False
Luvas Escamas Atroz,10000000,False
Runa de Recriagao (REC),5000000,True
Armadura Adamas Deusa-,10000000,False
Calga Luminosa de Clerigo-,0,False
Pogao de Reino,200000,False
Para-Raio-,0,False
Pergaminho Troca de Nome,0,False
Perneira Luminoso Rancor,0,False
Perneira Luminosa Tirana,0,False
Recreation GM: vviS-,0,False
Perneira LuminosaVingan¢ga,0,False
Armadura Lapisia:,1500000,True
Recreation GM: MP,0,False
Lapis Fortuna Triplo Definitivo,0,False
Capa da Forca de Hercules:,0,False
Lapis Caos:,2000000000,False
Botas Imperiais Espinhosas:,10000000,False
Malha Luminosa Yinganga,0,False
Runa de Batalha Media (30 dias),200000000,False
Unhas Infinitas:,0,False
Botas Imperiais do Horizonte,10000000,False
Lengo Tatoram Perito,0,False
Runa de Batalha Real (30 dias),300000000,False
Caixa de Lapisia para Arma 3 (Nv 16 a Nv 20,50000000,True
Remedio Resisténcia Ly2_,0,False
Malha Luminosa Corrupta de Terra,2000000000,False
Lapis Luz do Fogo Lv.2.,0,False
Lapis Artesanal Lv,0,False
Malha Luminosa de Tirano:,0,False
Runa de Batalha Fraca (24 horas),0,False
Bracal Luminoso Corrupto:,0,False
Lapis Mecanico N° 1,0,False
Lapis do Astucia Lyd,70000000,True
Martelo de Extragao Pequeno,0,False
Elmo Luminoso Corrupto |,0,False
Protecao Divina:,0,False
Bota Luminosa Tirano:,0,False
Perneira Luminosa Corrupto-,0,False
Luvas Sinistras:,0,False
Bota Luminosa Corrupta |,0,False
Amuleto da Sorte:,0,False
Cajado de Mondelsyon-,0,False
Lapis Mecanico N° 4,2000000000,False
Botas Unicornio Legendario:,0,False
Resistencia Eterna 7 dias,0,False
Lapis Sonico Lv2,0,False
Malha Luminosa de Rancor de Vento:,2000000000,False
Medco Infinite”,0,False
Chapeéu de Rudolph,0,False
Armadura Terra Legendario:,0,False
Martelo de Extragao Grande,40000000,True
Lapis Astucia Duplo Lv5-,0,False
Pogaa Intocavel Lv2-,0,False
Lapis Artesanal Lv?,0,False
Martelo de Extragao Extra Grande,0,False
Saco de Runas de Rec Premium,1000000,True
Lapis Astuto N. 9,200000000,False
Lapis Triplo Fortuna,0,False
Runa de Convite Membro-,100000,False
Cadaver diabolico,0,False
Grimorio Enigmatico,0,False
Tintura de Asas Crowly,0,False
Amuleto Fenix Vermelha,100000000,False
Lapis Sabio Ly,0,False
Lapis Toxina Lv?,0,False
Malha Luminosa Protana de Terra:,2000000000,False
Lapis Mecanico N° 2,20000000,True
Capacete Loxe Legendario |,0,False
Luvas Loxe Legendario,0,False
Calga Tathar Legendario:,0,False
Armadura Tathar Legendario:,0,False
Bracelete Deusa,0,False
Colar da Deusa,0,False
Maca de Ouro:,0,False
Sucesso Intinito:,0,False
Lapis Decdsy,0,False
GM Encanto Ly.?-,0,False
Lapis Rasio-,0,False
Lapis Mistico Duplo Lv1,0,False
Lapis Adi,0,False
Sorvete de Uva.,0,False
Lapis Roser,0,False
Lapis Fortuna Ly?,0,False
Amuleto de Ouro de Guerreiro:,0,False
Runa de Movimento,100000,True
Sorvete de Melao-,0,False
Doce de Morango,0,False
Bracal Luminosa Vingan¢ga,0,False
Lapis Fortuna LyS_,0,False
Lapis da Astucia Lv?,0,False
Lapis Lento Ly?,0,False
Lapis de Rasteiar Lv6-,0,False
Lapis Capacete INT,0,False
Lapis Congelador Lv6-,0,False
Malha Luminosa Profana de Fogo:,0,False
Perneira Luminosa Profana,0,False
Elmo Luminoso Profano,0,False
Bracal Luminoso Profano |,0,False
Dentes Degenerados,0,False
Capa do Sinistro,0,False
Malha Luminosa Profana de Agua,0,False
Lapis Veloz Max.,0,False
Malha Luminosa Profana de Yento,2000000000,False
Token de HPMP/SP de Recreagao,10000000,False
Vale de Transferencia de Item,3000000000,False
Luvas Loxe,0,False
Armadura Imperial Pacifica,10000000,False
Lapis Artesanal Triplo Definitivo:,2000000000,False
Pedra Invoca Basilisk das,0,False
Protetor Eremita Deusa:,10000000,False
Grip.,5000000,True
Calgado Eremita Deusa,0,False
Capa do Poder de Merlim,0,False
Capa da Defesa de Esparta,0,False
Fragmento de Onix,0,False
Token de Dobro de Recreagao:,10000000,False
"Pedra Fossil,",0,False
Capacete Imperial Genial,100000000,False
Amuleto de Ouro de Assassino |,0,False
Malhete de Cristal Intinito:,0,False
Cubo Lapisia Perfeita,0,False
Anel Resplandescente de As.,0,False
Lapis Fortuna Duplo Nv6-,0,False
Bracadeira de Ouro de Assa.,0,False
Bracadeira Resplandescente.,0,False
Salvagao,0,False
Eliminador Infinito:,0,False
Olho de Aguia Infinite,0,False
Bracelete Categoria Alta,0,False
Sussurros Infinitos:,0,False
Estripador Infinito.,0,False
Malha Luminosa de Rancor de Fogo,2000000000,False
Espada do Caos Intinito,100000000,False
Lapis Veloz Ly2-,0,False
Destruidor Intinito:,0,False
unhas diabdlicas,0,False
Capacete Agaton Deusa,0,False
Anel da Deusa,0,False
Bigorna do Bracelete Eterna,0,False
Anel do Dia dos Namorados:,0,False
"A,Estrela de Eolo",0,False
"A,Estrela de Demeter",0,False
Luvas Medicus,0,False
Runa de Batalha Fraca (15 dias),0,False
Colar de Reino,0,False
Armadura Hanor Deusa,10000000,False
Calga Hanor Deusa,10000000,False
Prancha de Snowboard,0,False
Cajado Estranho |,0,False
Armadura Plena Conflito,0,False
Legado de Mistra.,0,False
Chip de Obsidiana Runada-,0,False
Recreagao Doubler: vviS-,10000000,False
Recreation GM: HP,1000000000,False
Recreagao Doubler: STR”,50000000,False
Runa de Batalha Media (15 dias),10000000,False
Runa de Batalha Real (24 horas),1000000,False
Recreagao Doubler: DEX:,80000000,False
Recreagao Doubler: REC,50000000,False
ERRO,0,False
Capacete Aquine Heroico |,10000000,False
Capacete Colmeia Herdico,10000000,False
Capacete Escamas Heroico:,10000000,False
Capacete Metrin Heroico:,10000000,False
Capacete de Couro Duro Heroico:,10000000,False
Chapeéu Imperial do Horizonte,10000000,False
Chapeéu Imperial do Sabio,10000000,False
Capacete Imperial Espinhoso:,10000000,False
Capacete Imperial Pacifico:,10000000,False
Elmo dos Duendes (L),10000000,False
Elmo Natalino-,10000000,False
Capacete de Metal Heroico,10000000,False
Armadura Imperial Genial,100000000,False
Protetor Imperial Veloz,10000000,False
Armadura Dentron Venia-,10000000,False
Protetor Imperial do Horiz.,10000000,False
Armadura Bronze Vénia,10000000,False
Calgas Imperiais Espinhosas,10000000,False
Calga Dentron Veénia-,10000000,False
Calgas Imperiais do Sabio-,10000000,False
Calgas Imperiais Géniais:,100000000,False
Calgas Imperiais ‘Veloz,10000000,False
Calgas Imperiais Pacificas:,10000000,False
Calgas Imperiais do Horizonte,10000000,False
Armadura Inferior Brutal V’.,0,False
Luvas Metal Atroz,10000000,False
Luvas Quine Atroz:,100000000,False
Luvas Couro Rigido Atroz,10000000,False
Luvas Apis Atroz:,10000000,False
Luvas Imperiais Geniais,100000000,False
Luvas Metrin Atroz:,10000000,False
Luvas Imperiais do Horizonte:,10000000,False
Luvas Imperiais Yeloz,10000000,False
Luvas Imperiais Espinhosas-,10000000,False
Botas Imperiais Geéniais,100000000,False
Botas Imperiais do Sabio:,10000000,False
Botas Imperiais Veloz,10000000,False
Botas Imperiais Pacificas:,10000000,False
Capa Imperial de Cléerigo,10000000,False
Capa de Luta,10000000,False
Capa Imperial de Guerreiro,10000000,False
Capa Imperial de Lutador,10000000,False
Capa Vitoria,10000000,False
Capa Imperial de Mago,10000000,False
Capa Imperial de Cagador,10000000,False
Capa Imperial de Arqueiro:,10000000,False
Capa Cruel Persa,10000000,False
Capa Imperial de Oraculo”,10000000,False
Capa Imperial de Defensor,10000000,False
Capa da Forca de Aquiles:,10000000,False
Capa Imperial de Ranger,10000000,False
Capa de Guilherme Tell.,10000000,False
Capa Imperial de Assassino-,10000000,False
Capa da Defesa de Troia-,10000000,False
Capa do Juramento de Hipoc.,0,False
Botas Tathar Legendario:,0,False
Tintura de Montaria Crowly,0,False
Prevengao de queda de Item.,0,False
GM Encanto Ly.15_,1500000000,False
Lapis da Sonoléncia Lv?,0,False
Lapis Seguro Triplo Definitivo:,2000000000,False
Calgas de Imperador,0,False
Lapis Astuto Triplo Definitivo |,0,False
Lapis do Azar Lv?,0,False
Armadura Inferior Eremita,0,False
Capa Infinita de Cagador,0,False
Luyvas Yallum,0,False
Dual Mystic Lapis Ly?,0,False
Luvas Adamas Deusa,10000000,False
Plumas da Coragem,0,False
Quadrado Cintilante Leve,0,False
Escudo Graven,0,False
Espada Sagrada,0,False
Calga de Placa Legendario |,0,False
Bracadeira de Lutador Rara-,0,False
Remedio Etain Lv.2-,0,False
Runa de Recriagao (VIS),0,False
Arco Follushe,0,False
Pluma dos Deuses:,0,False
Lapis Sonico Lv1,0,False
Fragmento de Lapis Astuto Triplo-,0,False
Fragmento de Lapis Mistico Triplo,0,False
Amuleto do Sol Ardente,0,False
Anel do Papai Noel Ly.3-,0,False
Arco de Ataque Atroz,0,False
Lapis Astucia Duplo Nv6-,0,False
Lapis em forma de Coragao,20000000,True
Lapis Ponto Cego Ly?,200000000,False
Amuleto de Lutador Raro-,0,False
Armadura Perseguidor,0,False
Grito do Dragao:,0,False
Lapis de Vigor Lv,0,False
Luvas Perseguidor,0,False
Amuleto Sénico Natalino |,0,False
Fogos de Artificio Vitoria:,0,False
Botas Persequidor,0,False
Lapis de Rasteiar Ly?,0,False
Lapis Silencioso Ly?,0,False
Capa Cruel Siria.,0,False
Armadura Luminosa Clerigo de Fogo:,2000000000,False
Lapis Panico Lv?,80000000,True
Vahala Atroz:,0,False
Capa da Sagacidade,0,False
GM Encanto Ly.14,800000000,False
Runa de Batalha Media (24 horas),0,False
Capa Afortunada,0,False
Bracelete de Reino,0,False
Lapis Desorientagao Ly?,0,False
Malha Luminosa de Rancor,0,False
Crista de Retidao:,21000,True
[100)Etin:,0,False
Lapis Fortuna Duplo Nv?,500000000,False
[10)Etin,0,False
(1]JEtin,0,False
GM Encanto Ly.13,350000000,False
Lapis da Astucia Lv6,0,False
Lapis Astuto Triplo-,0,False
Caiado Cruz Herdico:,0,False
Armadura Luminosa Imperial,0,False
Voz Divina Intinita:,0,False
Lapis Sabio Triplo Definitivo:,0,False
Lanceta Infinita de Cavaleiro,0,False
Grotesca Infinito |,0,False
Armadura Inferior Lusco Le.,0,False
Capa do Conflito |,0,False
Capa Brilhante,0,False
Arma Lapisia:,400000,True
Agua Benta da Fronteira:,0,True
Pogao Etain Lyv1,500000,True
Espada Runa Gaia,0,False
Capacete Unicornio Legendario |,0,False
Pedra de Stats:,0,False
Botas Celeritas,0,False
Calgas Celeritas:,0,False
Luvas Celeritas dos Sonhos,0,False
Manto Celeritas,0,False
Capa do Perseguidor,0,False
Runa da Ressurreigao,0,False
Caixa de Lapisia para Arma 2 (Nv 11 a Nv 15,50000000,True
Bota Luminosa Imperador,0,False
Lapis Mistico Duplo Ly4,0,False
Lapis Proibido Ly?,0,False
Runa de Recriagao (DEX),4500000,True
Lapis Seguro N. 9,80000000,True
Laminas Terriveis da Morte,0,False
Manto Azriel,0,False
Lapis Artesanal Duplo Ny?,0,False
Arco da Alma,0,False
Botas de Autoridade Respla.,0,False
Anel de Ouro de Defensor,0,False
Brionac,0,False
Lapis Triplo Seguro,900000000,False
Espada Demoniaca,0,False
Bota Luminosa Imperial,0,False
Soco Inglés Pendulo-,0,False
Lapis Lento Lv6-,0,False
Fragmento de Lapis Triplo Seguro,0,False
Anel Artesanal Heroico:,0,False
Fragmento de Lapis Triplo Fortuna,0,False
Lapis Desorientagao Lv6-,0,False
Fragmento de Lapis Triplo Sabio-,0,False
Runa de Recriagao (LUC),1000000,True
Armadura Luminosa Imperador de Fogo:,2000000000,False
Token de Restauragao de Nivel.,500000000,False
Luva Luminosa Imperador,0,False
Pedago de Asa,0,False
Amuleto de Ouro de Clerigo:,0,False
Anel de Ouro de Clerigo,0,False
Lapis Vivido N. 9,60000000,False
Anel Resplandescente de Cl.,0,False
Lapis Artesanal N. 9°,90000000,True
Lapis Sabio Duplo Lv,0,False
Anel Resplandescente de Or.,0,False
GM Encanto Ly.20°,2700000000,False
Lapis Seguro Duplo Ly,0,False
Lapis Artesanal Duplo LyS-,0,False
Amago Manitu-,0,False
Capa Fatal,0,False
Token de Impulso de Recreagao:,4000000000,False
Botas Mithril Perito,0,False
Coragao Vivo.,0,False
Manto Lamiel,0,False
Fragmento de Estrela Cadtica:,0,False
Lucifer Herdico |,0,False
Quadrado Caotico Luz,0,False
Caixa de ltens de Joias Eternas,0,False
Tintura de Armadura Crowly,0,False
Capacete Deprimo,0,False
GM Encanto Ly.16,100000000,True
Anel de Lutador Resplandes.,0,False
Cobra Perversa:,0,False
Bracadeira de Lutador Resp.,0,False
Faros Pilum,0,False
Lapis Artesanal Triplo-,0,False
Lapis de Absorgao LyvS-,0,False
Inferno Atroz:,0,False
Luvas Adamas Herdico:,0,False
Crista de Engano:,0,False
Lapis Estrelar,0,False
Manto Karoum,0,False
Carino Hrapsodia:,0,False
Fragmento de Placa Caos,0,False
Martelo da Dificuldade,0,False
Lapis Mental Ly?,0,False
Lapis Mental Lv6_,0,False
Lapis Mistico Lv6-,0,False
Lapis Choque Terrestre Ly.2.,100000,False
Lapis Luz da Agua Ly.2.,0,False
Lapis Sabio Lv6-,0,False
Recreation GM: LUC,0,False
Lapis Seguro Ly6-,0,False
Lapis Panico Terrestre Ly.2,0,False
Nirvana Intinito:,0,False
Manto Zagzagel,0,False
Lapis Fogo Ardente Lv.2.,0,False
Aumento de EXP 7 dias,0,False
Token de Recreagao Maxima,5000000000,False
Caixa de Foria do Campeao,0,False
Lapis Rasyo-,0,False
Caixa de Escudo do Sentinela,0,False
Amuleto de Ouro de Lutador,0,False
Armadura Conflito |,0,False
Elmo dos Duendes (F),0,False
Runa de Recriagao,0,False
Lapis Artesanal Lv6-,0,False
GM Bolsa Recreativa,0,False
Lapis Luz do Fogo Lv.1,0,False
Bracelete Nobre,0,False
Runa Recriagao Absolute:,10000000,False
Lapis Silencioso Ly6-,0,False
Lapis Sabio Duplo Ly3-,0,False
Martelo de Reparo,0,False
Tintura de Mascote Crowly,0,False
Anel Raro de Guerreiro:,0,False
Lapis Artesanal Lv5-,0,False
Pogao Arcana,0,False
Recreagao Exchange: INT,0,False
Caixa de Odin 2,0,False
Token de Restauragao de Item,100000000,False
Lapis Capacete REC,0,False
Martelo Glorioso,0,False
Calga Luminosa do Sabio-,0,False
Lapis Mistico Lv5-,0,False
Pedra Invoca Fenix Terrestre:,0,False
Lapis da Astucia LyS-,0,False
Arcubalista Atroz:,0,False
Grama,0,False
Anel de Cobre de Arqueiro,0,False
Tentaculo Degenerado,0,False
Remedio Resistencia Ly3 XT,0,False
Protetor Caido Resplandesc.,0,False
Manopla Mistica Brilhante,0,False
Botas Caidas Resplandescentes,0,False
Botas Misticas Brilhantes,0,False
Armadura Brilhante de Terra:,0,False
Lapis Adeo,0,False
Arcubalista Legendario,0,False
Capacete Medicus,0,False
Remedio Agilidade Lvy3 XT,0,False
Dente de Dragao Legendario:,0,False
Capacete Caido Resplandesc.,0,False
O Absoluto Legendario:,0,False
Inferno Legendario-,0,False
Sangue Rubro Legendario:,0,False
Nemesis Intinita.,0,False
Ascalao Legendario,0,False
Escudo Messias Escarlate L.,0,False
Capa Infinita de Arqueiro:,0,False
Pedra de Skill,0,False
Nostrum da Arte Negra:,0,False
GM Encanto Ly.6,0,False
Runa de Batalha Media (7 dias),0,False
Poeira Cosmica,0,False
Luvas Dentron Yénia,0,False
GM Encanto Ly.1.,0,False
GM Encanto Ly.3-,0,False
GM Encanto Ly.10°,0,False
Rachroma Ashe,0,False
Lapis Artesanal Duplo Ly3-,0,False
Armadura Luminosa Suprema de Terra:,2000000000,False
Armadura Luminosa Imperial de Fogo.,0,False
Pogaa Intocavel Lv1_,0,False
Lapis Seguro Ly5-,0,False
Calgas de Autoridade Brilh.,0,False
Calgado Fatal,0,False
Calgado Sinistro-,0,False
Botas Brilhantes |,0,False
Princesa de Ferro,0,False
Lapis Capacete LUC,0,False
Malha Luminosa Corrupta de Agua:,2000000000,False
Capacete Quine,0,False
Recreagao Exchange: REC,0,False
Elmo Dragao Anciao,0,False
Armadura Inferior Caida Br.,0,False
Protetor Inferior Caido Br.,0,False
Lapis Mistico Triplo-,0,False
Aumento de Ouro 30 dias,0,False
Pergaminho de Teleporte da Cidade,0,False
Mineério de ferro bruto:,0,False
Lucky Lapis,0,False
Floco de Neve de Poseidon:,0,False
Capa da Vitoria:,0,False
Depdsito Duplo.,0,False
Lapis da Vida Lyd,0,False
Lapis Ventania Ly.2-,0,False
Malha Luminosa Yinganga de Terra:,0,False
Lapis Seguro Lyd,40000000,True
Lapis escurc,0,False
Recreation GM: REC,3000000000,False
GM Encanto Ly.17_,80000000,False
Elmo Luminoso de Clerigo,0,False
Fragmento de Lapis Artesanal Triplo-,0,False
Nostrum Defesa XT,0,False
Nostrum Golpe Limpo XT,0,False
Protetor Lusco Legendario |,0,False
Capa do Defensor,0,False
Anel Resplandescente de Gu.,0,False
Runa Revocagao do Depasito |,0,False
Lapis do Azar Lv6,0,False
Lapis Panico Lv6,0,False
Lapis Enfermo Lv6-,0,False
Anel da Determinagao,0,False
Runa de Ressurreigao 30 dias:,400000000,False
Lapis Sabio duplo Ny?,0,False
Botas Terra Atroz,0,False
Armadura de Autoridade Bri.,0,False
Armadura Mistica Brilhante,0,False
Runa de Ressurreigao 15 dias:,100000000,True
Lapis Fortuna Duplo Lv1,0,False
Besta Tiro Mortal,0,False
Lapis Astucia Duplo Lv3-,0,False
Capa Reforgada,0,False
Fragmento de Lapis Horizonte,0,False
Demolidor Infinite,0,False
Amuleto de Saude Ly2-,0,False
Capa de Robin Hood:,0,False
Armadura Imperial Brilha:,0,False
Capacete de Imperador Resp.,0,False
Dor Imortal Atroz,0,False
Armadura Resplandescente d.,0,False
Recreagao Max: INT,0,False
Agonia Infinito-,0,False
Elmo Luminoso do Sabio,0,False
Lamina do Sucesso Atroz,0,False
Calgado Adamas Atroz:,0,False
Coragao Leao Atroz,0,False
Armadura Dragao Atroz,0,False
Acido Aurico Infinito:,0,False
Nostrum Yeloz,0,False
Lapis Capacete vVIS-,0,False
Nostrum Dominador de Armas,0,False
Lapis Puro,50000000,False
Lapis Capacete STR,0,False
Lapis Proibido LyS-,0,False
Agua Benta de Prolelium,0,False
Lapis do Engano Lv6-,0,False
Tormenta Tempestuosa-,0,False
Engolidor de Cadaver Legen.,0,False
Lapis Choque Terrestre Ly.1.,0,False
Lapis da Vida Lv6,0,False
Garra Nobre-,0,False
Bigorna do Amuleto Eterna,0,False
Luvas Conflito:,0,False
Luvas Obstinadas,0,False
Garra Ferro Yéenia-,0,False
Leao Furioso,0,False
Lapis Sabio Duplo Ly2-,0,False
Lapis Artesanal Duplo Ly4,0,False
Armadura Luminosa do Sabio-,0,False
Lapis Artesanal Duplo Lv1,0,False
Lapis Decd,0,False
Armadura de Campeao,0,False
Armadura do Feiticeiro,0,False
Calga Luminosa Suprema.,0,False
Anel do Sol Ardente-,0,False
coragao diabolico:,0,False
Pedra de Adamar,0,False
Couro magico:,0,False
Foice Infinito,0,False
Dente de Dragao Atroz,0,False
Armadura Adamas Anciao,0,False
Ganhadora Antiga Infinita,0,False
Anel de Ouro de Mago,400000000,False
Bota Luminosa Autoritas:,0,False
Calga Luminosa Autoritas,0,False
Armad. Luminosa Autoritas:,0,False
Bracadeira de Ouro de Oraculo,0,False
Agua Benta de Cantabilian:,0,False
Lapis Sabio Ly?,0,False
Lapis Pergaminho do Vento:,0,False
Amuleto de Ouro de Defensor,0,False
Runa de Ressurreigao 3h,6000000,True
Armadura Perseguidor de Terra:,0,False
Armadura Inferior Respland.,0,False
Lapis Interser,0,False
Heraldica da Condenagao,0,False
Amuleto de Ouro de Ranger,0,False
Bracadeira de Ouro de Ranger,0,False
Avambraco Caido Resplandes.,0,False
Armadura Luminosa do Sabio de Vento:,0,False
Lapis Mistico Lv?,0,False
Lapis Mecanico N° 3°,0,False
Alustera Infinito.,0,False
Espada Celestial Intinita.,0,False
Armadura Luminosa Suprema de Agua:,2000000000,False
Protetor da Vingan¢ga,0,False
Bota Luminosa Suprema,0,False
Botas de Vinganga Brilhantes |,0,False
Lapis Mistico Lv3-,40000000,True
Armadura Dragao Deusa,10000000,False
Runa de Batalha Real (7 dias),0,False
Elmo Luminoso Imperial,500000000,False
Bota Luminosa Matador,0,False
Beriunse,0,False
Lapis Mistico Triplo Definitivo:,0,False
Lapis Astucia Duplo Nv?,400000000,False
Lapis Sensato N. 9°,0,False
Lapis Mistico de Capacete Ly2-,0,False
Dual Safe Lapis Lv6-,0,False
Lapis Seguro de Capacete Ly2.,0,False
Armadura Luminosa Suprema |,0,False
Dual Mystic Lapis Lv6-,0,False
Dedo Divino Intinito:,0,False
Cajado Sabio Infinito.,0,False
Bracelete Brilhante da Deusa,0,False
Colar Brilhante da Deusa-,0,False
Runa de Batalha Fraca (7 dias).,0,False
Armadura Luminosa Imperial de Agua:,2000000000,False
Triturador de Almas Infinito,10000000,False
Manto Mion,10000000,False
Resistencia Eterna 30 dias,0,False
Luvas Unicornio Legendario |,0,False
Lapis das Sombras,0,False
Amago Arvore Dourada,0,False
Trigéemeos,0,False
Recreagao Max: DEX,0,False
Tiro de Pan,0,False
Bigorna do Anel Eterno:,0,False
Malha Luminosa Profana:,0,False
Sorvete de baunilha:,0,False
Calga Joia,0,False
Botas Joia,0,False
Parafuso Pequeno,0,False
Armagao de Metal,0,False
Fio Curto:,0,False
Placa Pequena de Metal,0,False
Placa Premium de Metal,0,False
Microplaca de Metal,0,False
Nanotio,0,False
Microtio |,0,False
Mapa da Masmorra (24h),0,False
Pedra Teleportadora,0,False
Globo Infinito.,0,False
Transporte ao Contrabando,0,False
Capacete Deinos Deusa_,0,False
Poeira Estelar Cadtica:,0,False
Fragmento de Estrela Infinita,0,False
Luvas Axo Atroz,0,False
Protetor Lusco Atroz,0,False
Fragmento de Metal Espacial,0,False
Armadura Inferior Axo Atroz:,0,False
Livro de Feitigos de Baixa Qualidade,0,False
Protetor de Forca Bruta,0,False
Escudo Farpado Atroz,0,False
Cortaria do Infinito |,0,False
Armadura Mistica Resplande.,0,False
Langa Dilaceradora,0,False
Mortificado,0,False
Lapis de Absorgao Ly9-,0,False
Armadura de Atirador,0,False
Deputado divino-,0,False
Lapis Agua do Medo Ly.2.,0,False
Medo Sombrio:,0,False
Elmo Luminoso Imperador,0,False
Calga Luminosa Imperador,0,False
Toque da Alma,0,False
Protetor Intimidante,0,False
Protetor de Tormento,0,False
Besta llusoria,0,False
Armadura Luminosa Imperador,0,False
Amuleto de Ouro de Oraculo,0,False
Lapis Congelador Ly?,0,False
Pergaminho de Aparencia,0,False
Anel de Ouro de Oraculo:,0,False
Lapis do Engano Ly4,0,False
Lapis Vigor Lv5-,0,False
Lapis Vigor Lv6-,0,False
Anel de Ouro de Lutador,0,False
Lapis Vigor Lv?,0,False
Manto Cheruvim,0,False
Pilula Pequena Removedora EXP,0,False
Elmo Luminoso Yinganga,0,False
Bota Luminosa Yinganca,0,False
